pwm,rpm,current,voltage,power,force,efficiency
1100,2976,17.03,12,204.4,-28.449,14.2
1104,2969,17.08,12,205,-28.6452,14.2
1108,2971,16.76,12,201.1,-28.3509,14.4
1112,2933,16.52,12,198.2,-27.7623,14.3
1116,2916,16.08,12,193,-27.3699,14.4
1120,2898,15.69,12,188.3,-27.0756,14.7
1124,2874,15.31,12,183.7,-26.6832,14.8
1128,2852,15,12,180,-26.1927,14.8
1132,2841,14.51,12,174.1,-25.506,14.9
1136,2817,14.17,12,170,-25.4079,15.3
1140,2792,13.82,12,165.8,-25.1136,15.5
1144,2773,13.46,12,161.5,-24.4269,15.4
1148,2755,13.08,12,157,-23.9364,15.5
1152,2728,12.8,12,153.6,-23.8383,15.8
1156,2714,12.4,12,148.8,-23.4459,16
1160,2689,12,12,144,-22.9554,16.3
1164,2676,11.66,12,139.9,-22.563,16.5
1168,2654,11.31,12,135.7,-22.0725,16.6
1172,2615,11.1,12,133.2,-21.8763,16.7
1176,2610,10.74,12,128.9,-21.3858,16.9
1180,2576,10.5,12,126,-20.9934,17
1184,2560,10.11,12,121.3,-20.601,17.3
1188,2533,9.84,12,118.1,-20.3067,17.5
1192,2510,9.5,12,114,-19.7181,17.6
1196,2482,9.2,12,110.4,-19.4238,18
1200,2457,8.9,12,106.8,-19.1295,18.2
1204,2443,8.6,12,103.2,-18.4428,18.2
1208,2412,8.3,12,99.6,-18.1485,18.5
1212,2383,8,12,96,-17.7561,18.8
1216,2365,7.7,12,92.4,-17.4618,19.2
1220,2335,7.4,12,88.8,-16.9713,19.5
1224,2318,7.1,12,85.2,-16.2846,19.5
1228,2284,6.9,12,82.8,-16.1865,19.9
1232,2260,6.6,12,79.2,-15.7941,20.3
1236,2231,6.4,12,76.8,-15.3036,20.3
1240,2208,6.2,12,74.4,-15.0093,20.6
1244,2189,5.99,12,71.9,-14.6169,20.8
1248,2159,5.77,12,69.2,-14.4207,21.2
1252,2140,5.5,12,66,-14.1264,21.8
1256,2106,5.32,12,63.8,-13.734,21.9
1260,2082,5.17,12,62,-13.4397,22.1
1264,2057,4.9,12,58.8,-13.0473,22.7
1268,2038,4.7,12,56.4,-12.6549,22.9
1272,2006,4.56,12,54.7,-12.5568,23.4
1276,1982,4.3,12,51.6,-11.9682,23.6
1280,1955,4.1,12,49.2,-11.6739,24.2
1284,1925,3.9,12,46.8,-11.2815,24.6
1288,1898,3.73,12,44.8,-10.9872,24.9
1292,1869,3.6,12,43.2,-10.5948,25.1
1296,1846,3.4,12,40.8,-10.2024,25.6
1300,1815,3.3,12,39.6,-10.0062,25.8
1304,1788,3.1,12,37.2,-9.7119,26.7
1308,1763,2.98,12,35.8,-9.4176,26.9
1312,1737,2.8,12,33.6,-9.1233,27.7
1316,1708,2.7,12,32.4,-8.829,27.9
1320,1681,2.41,12,28.9,-8.5347,30.1
1324,1651,2.3,12,27.6,-8.1423,30.2
1328,1620,2.1,12,25.2,-7.7499,31.5
1332,1588,2,12,24,-7.5537,32.1
1336,1557,1.9,12,22.8,-7.2594,32.4
1340,1529,1.8,12,21.6,-7.0632,33.4
1344,1504,1.7,12,20.4,-6.7689,34
1348,1470,1.6,12,19.2,-6.4746,34.3
1352,1439,1.5,12,18,-6.2784,35.5
1356,1411,1.31,12,15.7,-5.886,38.4
1360,1375,1.3,12,15.6,-5.5917,36.6
1364,1338,1.2,12,14.4,-5.2974,37.8
1368,1309,1.1,12,13.2,-5.1012,39.2
1372,1276,1,12,12,-4.8069,41.2
1376,1246,0.9,12,10.8,-4.6107,43.7
1380,1211,0.8,12,9.6,-4.3164,45.8
1384,1169,0.8,12,9.6,-4.1202,43.5
1388,1134,0.7,12,8.4,-3.8259,46.4
1392,1099,0.6,12,7.2,-3.6297,51
1396,1057,0.5,12,6,-3.3354,56.7
1400,1023,0.5,12,6,-3.1392,52.9
1404,986,0.41,12,4.9,-2.8449,59.9
1408,944,0.4,12,4.8,-2.6487,55.8
1412,903,0.4,12,4.8,-2.3544,51
1416,865,0.3,12,3.6,-2.2563,63
1420,820,0.29,12,3.5,-1.962,58.7
1424,777,0.2,12,2.4,-1.7658,73.7
1428,737,0.2,12,2.4,-1.5696,68
1432,690,0.2,12,2.4,-1.4715,60.5
1436,643,0.1,12,1.2,-1.1772,102.1
